id,genus,epithet,synonym,synonym_details.genus,synonym_details.epithet,registrant_name,originator_name,date_of_registration,seed_parent.genus,seed_parent.epithet,pollen_parent.genus,pollen_parent.epithet
# Brassolaelia => Rhyncholaeliocattleya
1017506,Rhyncholaeliocattleya,Purpurata,true,Rhyncholaeliocattleya,Digbyano-Purpurata,,,1908/05/01,Rhyncholaelia,digbyana,Cattleya,purpurata

# Laeliocattleya => Cattleya
142023,Cattleya,Thetis (1920),true,Cattleya,Theniss,Charlesworth Ltd.,Charlesworth Ltd.,1920/01/01,Cattleya,Myrrha,Cattleya,trianae
150005,Cattleya,Eira (1909),true,Cattleya,Elektra,H.,H.,1909/06/01,Cattleya,trianae,Cattleya,Latona
127702,Cattleya,Kraenzlini,true,Cattleya,Kraenzlinii,Sanders[St Albans],Sanders[St Albans],1893/01/01,Cattleya,mossiae,Cattleya,Elegans (1879)

# Cattleya => Laeliocattleya
151440,Cattleya,Amesiae,true,Laeliocattleya,Boylei,Sanders[St Albans],Sanders[St Albans],1892/06/01,Cattleya,maxima,Cattleya,crispa

# Odontioda => Oncidium
11437,Oncidium,Nora,true,Oncidium,Stephensonii,Charlesworth Ltd.,Charlesworth Ltd.,1918/03/02,Oncidium,Schroederi,Oncidium,Aireworth
150006,Oncidium,Mossiae,true,Oncidium,Kenchii,R&H,Moss,1909/01/01,Oncidium,kegeljani,Oncidium,Wilckeanum

# Odontoglossum => Oncidium
3282,Oncidium,Spectabile,true,Oncidium,Crispo-Harryanum,Vuylsteke,Vuylsteke,1899/01/01,Oncidium,alexandrae,Oncidium,harryanum
957249,Oncidium,Nobilius,true,Oncidium,Harvengtense,Vuylsteke,Vuylsteke,1898/01/01,Oncidium,alexandrae,Oncidium,spectatissimum
4027,Oncidium,Denisoniae,true,Oncidium,Wilckeanum,E.Rothschild,E.Rothschild,1890/01/01,Oncidium,alexandrae,Oncidium,luteopurpureum

# Roczonii => × roczonii
29718,Ornithocidium,× roczonii,true,Gomesa,× roczonii,,,,Oncidium,riograndense,Ornithophora,radicans
